node1,node2,weight,ingredients,percent_recipes
olive oil,garlic,89,olive oil & garlic,40.0
onion,olive oil,71,onion & olive oil,32.0
olive oil,tomato,68,olive oil & tomato,30.0
olive oil,feta cheese,61,olive oil & feta cheese,27.0
lemon juice,olive oil,60,lemon juice & olive oil,27.0
olive oil,oregano,57,olive oil & oregano,25.0
onion,tomato,48,onion & tomato,21.0
olive oil,parsley,47,olive oil & parsley,21.0
lemon juice,garlic,43,lemon juice & garlic,19.0
bread,olive oil,42,bread & olive oil,19.0
