"","country","ingredients","recipe_id"
"333508","Austria","butter",41719
"333509","Austria","wheat",41719
"333510","Austria","vanilla",41719
"333511","Austria","almond",41719
"333512","Austria","egg",41719
"333513","Austria","egg",41720
"333514","Austria","almond",41720
"333515","Austria","lemon",41720
"333516","Austria","butter",41721
"333517","Austria","vanilla",41721
"333518","Austria","wheat",41721
"333519","Austria","hazelnut",41721
"333520","Austria","butter",41722
"333521","Austria","wheat",41722
"333522","Austria","potato",41722
"333523","Austria","plum",41722
"333524","Austria","egg",41722
"333525","Austria","bread",41722
"333526","Austria","butter",41723
"333527","Austria","wheat",41723
"333528","Austria","egg",41723
"333529","Austria","milk",41723
"333530","Austria","cream",41723
"333531","Austria","pork",41724
"333532","Austria","wheat",41724
"333533","Austria","beef",41724
"333534","Austria","pepper",41724
"333535","Austria","egg",41724
"333536","Austria","milk",41724
"333537","Austria","bread",41724
"333538","Austria","butter",41725
"333539","Austria","wheat",41725
"333540","Austria","vanilla",41725
"333541","Austria","almond",41725
"333542","Austria","walnut",41725
"333543","Austria","cocoa",41725
"333544","Austria","egg",41725
"333545","Austria","milk",41725
"333546","Austria","butter",41726
"333547","Austria","pepper",41726
"333548","Austria","onion",41726
"333549","Austria","parsley",41726
"333550","Austria","white_bread",41726
"333551","Austria","egg",41726
"333552","Austria","milk",41726
"333553","Austria","butter",41727
"333554","Austria","wheat",41727
"333555","Austria","rum",41727
"333556","Austria","apricot",41727
"333557","Austria","cocoa",41727
"333558","Austria","egg",41727
"333559","Austria","milk",41727
"333560","Austria","cream",41727
"333561","Austria","butter",41728
"333562","Austria","wheat",41728
"333563","Austria","egg",41728
"333564","Austria","milk",41728
"333565","Austria","butter",41729
"333566","Austria","wheat",41729
"333567","Austria","rum",41729
"333568","Austria","apricot",41729
"333569","Austria","vanilla",41729
"333570","Austria","cocoa",41729
"333571","Austria","pecan",41729
"333572","Austria","egg",41729
"333573","Austria","milk",41729
"333574","Austria","butter",41730
"333575","Austria","wheat",41730
"333576","Austria","rum",41730
"333577","Austria","plum",41730
"333578","Austria","raisin",41730
"333579","Austria","milk",41730
"333580","Austria","milk_fat",41730
"333581","Austria","egg",41730
"333582","Austria","vanilla",41730
"333583","Austria","pepper",41731
"333584","Austria","wheat",41731
"333585","Austria","veal",41731
"333586","Austria","vegetable_oil",41731
"333587","Austria","egg",41731
"333588","Austria","bread",41731
"333589","Austria","pepper",41732
"333590","Austria","marjoram",41732
"333591","Austria","onion",41732
"333592","Austria","mushroom",41732
"333593","Austria","potato",41732
"333594","Austria","cardamom",41732
"333595","Austria","black_pepper",41732
"333596","Austria","carrot",41732
"333597","Austria","beef_broth",41732
"333598","Austria","leek",41732
"333599","Austria","cream",41732
"333600","Austria","vinegar",41733
"333601","Austria","onion",41733
"333602","Austria","bay",41733
"333603","Austria","celery",41733
"333604","Austria","carrot",41733
"333605","Austria","cream",41733
"333606","Austria","butter",41734
"333607","Austria","wheat",41734
"333608","Austria","vanilla",41734
"333609","Austria","almond",41734
"333610","Austria","raspberry",41734
"333611","Austria","egg",41734
"333612","Austria","wheat",41735
"333613","Austria","apricot",41735
"333614","Austria","vanilla",41735
"333615","Austria","almond",41735
"333616","Austria","brandy",41735
"333617","Austria","cinnamon",41735
"333618","Austria","cream_cheese",41735
"333619","Austria","tea",41735
"333620","Austria","orange",41735
"333621","Austria","vegetable_oil",41735
"333622","Austria","egg",41735
"333623","Austria","milk",41735
"333624","Austria","butter",41736
"333625","Austria","wheat",41736
"333626","Austria","black_tea",41736
"333627","Austria","cocoa",41736
"333628","Austria","hazelnut",41736
"333629","Austria","egg",41736
"333630","Austria","bread",41736
"333631","Austria","butter",41737
"333632","Austria","lemon",41737
"333633","Austria","vanilla",41737
"333634","Austria","cocoa",41737
"333635","Austria","lard",41737
"333636","Austria","wheat",41737
"333637","Austria","egg",41737
"333638","Austria","milk",41737
"333639","Austria","butter",41738
"333640","Austria","vanilla",41738
"333641","Austria","wheat",41738
"333642","Austria","hazelnut",41738
"333643","Austria","butter",41739
"333644","Austria","wheat",41739
"333645","Austria","apple",41739
"333646","Austria","seed",41739
"333647","Austria","cinnamon",41739
"333648","Austria","egg",41739
"333649","Austria","cream",41739
