"","country","ingredients","recipe_id"
"31646","China","cane_molasses",3625
"31647","China","olive_oil",3625
"31648","China","pepper",3625
"31649","China","cayenne",3625
"31650","China","cilantro",3625
"31651","China","bean",3625
"31652","China","garlic",3625
"31653","China","starch",3626
"31654","China","chicken_broth",3626
"31655","China","black_pepper",3626
"31656","China","ginger",3626
"31657","China","shrimp",3626
"31658","China","garlic",3626
"31659","China","soybean",3626
"31660","China","vegetable_oil",3626
"31661","China","pea",3626
"31662","China","onion",3627
"31663","China","starch",3627
"31664","China","soy_sauce",3627
"31665","China","black_pepper",3627
"31666","China","garlic",3627
"31667","China","vegetable_oil",3627
"31668","China","chicken",3627
"31669","China","broccoli",3627
"31670","China","oyster",3627
"31671","China","beef",3628
"31672","China","starch",3628
"31673","China","black_pepper",3628
"31674","China","soy_sauce",3628
"31675","China","cayenne",3628
"31676","China","ginger",3628
"31677","China","shrimp",3628
"31678","China","garlic",3628
"31679","China","vegetable",3628
"31680","China","scallion",3628
"31681","China","chicken_broth",3628
"31682","China","oyster",3628
"31683","China","cane_molasses",3629
"31684","China","beef",3629
"31685","China","sesame_oil",3629
"31686","China","onion",3629
"31687","China","soy_sauce",3629
"31688","China","black_pepper",3629
"31689","China","carrot",3629
"31690","China","garlic",3629
"31691","China","sesame_seed",3629
"31692","China","leek",3629
"31693","China","bell_pepper",3629
"31694","China","peanut_oil",3630
"31695","China","cane_molasses",3630
"31696","China","pork",3630
"31697","China","starch",3630
"31698","China","chicken_broth",3630
"31699","China","ginger",3630
"31700","China","scallion",3630
"31701","China","lobster",3630
"31702","China","sherry",3630
"31703","China","garlic",3630
"31704","China","egg",3630
"31705","China","soy_sauce",3630
"31706","China","vinegar",3631
"31707","China","wheat",3631
"31708","China","roasted_peanut",3631
"31709","China","onion",3631
"31710","China","starch",3631
"31711","China","fish",3631
"31712","China","red_wine",3631
"31713","China","ginger",3631
"31714","China","garlic",3631
"31715","China","bell_pepper",3631
"31716","China","sherry",3631
"31717","China","vegetable_oil",3631
"31718","China","mint",3631
"31719","China","chicken",3632
"31720","China","scallion",3632
"31721","China","garlic",3632
"31722","China","sesame_oil",3632
"31723","China","soy_sauce",3632
"31724","China","mushroom",3633
"31725","China","soy_sauce",3633
"31726","China","scallion",3633
"31727","China","carrot",3633
"31728","China","vegetable_oil",3633
"31729","China","cabbage",3633
"31730","China","egg",3633
"31731","China","bread",3633
"31732","China","cilantro",3634
"31733","China","soy_sauce",3634
"31734","China","scallion",3634
"31735","China","macaroni",3634
"31736","China","peanut_butter",3634
"31737","China","vegetable",3634
"31738","China","garlic",3634
"31739","China","bell_pepper",3634
"31740","China","vegetable_oil",3635
"31741","China","wheat",3635
"31742","China","yeast",3635
"31743","China","nut",3636
"31744","China","turnip",3636
"31745","China","pork",3636
"31746","China","mushroom",3636
"31747","China","soy_sauce",3636
"31748","China","cilantro",3637
"31749","China","mushroom",3637
"31750","China","fish",3637
"31751","China","ginger",3637
"31752","China","scallion",3637
"31753","China","garlic",3637
"31754","China","bell_pepper",3637
"31755","China","cabbage",3637
"31756","China","soy_sauce",3637
"31757","China","pepper",3638
"31758","China","sesame_oil",3638
"31759","China","starch",3638
"31760","China","black_bean",3638
"31761","China","soy_sauce",3638
"31762","China","cayenne",3638
"31763","China","ginger",3638
"31764","China","scallion",3638
"31765","China","garlic",3638
"31766","China","soybean",3638
"31767","China","vegetable_oil",3638
"31768","China","pepper",3639
"31769","China","sesame_oil",3639
"31770","China","lime_juice",3639
"31771","China","shiitake",3639
"31772","China","cayenne",3639
"31773","China","ginger",3639
"31774","China","lettuce",3639
"31775","China","garlic",3639
"31776","China","vegetable_oil",3639
"31777","China","chicken",3639
"31778","China","rice",3639
"31779","China","soy_sauce",3639
"31780","China","pork_sausage",3639
"31781","China","vinegar",3640
"31782","China","pork",3640
"31783","China","wheat",3640
"31784","China","sesame_oil",3640
"31785","China","nut",3640
"31786","China","cayenne",3640
"31787","China","ginger",3640
"31788","China","scallion",3640
"31789","China","vegetable_oil",3640
"31790","China","cabbage",3640
"31791","China","egg",3640
"31792","China","soy_sauce",3640
"31793","China","wheat",3641
"31794","China","cream_cheese",3641
"31795","China","onion",3641
"31796","China","soy_sauce",3641
"31797","China","garlic",3641
"31798","China","crab",3641
"31799","China","vegetable_oil",3641
"31800","China","egg",3641
"31801","China","pea",3641
"31802","China","pea",3642
"31803","China","pork",3642
"31804","China","rice",3642
"31805","China","sesame_oil",3642
"31806","China","starch",3642
"31807","China","shiitake",3642
"31808","China","red_wine",3642
"31809","China","scallion",3642
"31810","China","pork_sausage",3642
"31811","China","soy_sauce",3642
"31812","China","shrimp",3642
"31813","China","nut",3642
"31814","China","oyster",3642
"31815","China","lemon_juice",3643
"31816","China","sesame_oil",3643
"31817","China","mushroom",3643
"31818","China","starch",3643
"31819","China","soy_sauce",3643
"31820","China","tabasco_pepper",3643
"31821","China","ginger",3643
"31822","China","scallion",3643
"31823","China","green_bell_pepper",3643
"31824","China","garlic",3643
"31825","China","sesame_seed",3643
"31826","China","vegetable_oil",3643
"31827","China","chicken",3643
"31828","China","wine",3643
"31829","China","wheat",3644
"31830","China","beef",3644
"31831","China","onion",3644
"31832","China","soy_sauce",3644
"31833","China","carrot",3644
"31834","China","vegetable_oil",3644
"31835","China","cabbage",3644
"31836","China","egg",3644
"31837","China","pepper",3645
"31838","China","wheat",3645
"31839","China","sesame_oil",3645
"31840","China","nut",3645
"31841","China","pork",3645
"31842","China","scallion",3645
"31843","China","garlic",3645
"31844","China","watercress",3645
"31845","China","soy_sauce",3645
"31846","China","oyster",3645
"31847","China","shrimp",3645
"31848","China","peanut_oil",3646
"31849","China","cilantro",3646
"31850","China","sesame_oil",3646
"31851","China","fish",3646
"31852","China","ginger",3646
"31853","China","scallion",3646
"31854","China","soy_sauce",3646
"31855","China","gin",3647
"31856","China","chicken",3647
"31857","China","soy_sauce",3647
"31858","China","ginger",3647
"31859","China","vegetable_oil",3647
"31860","China","tomato",3648
"31861","China","vinegar",3648
"31862","China","pepper",3648
"31863","China","lemon_juice",3648
"31864","China","celery_oil",3648
"31865","China","sake",3648
"31866","China","corn",3648
"31867","China","pork",3648
"31868","China","ginger",3648
"31869","China","honey",3648
"31870","China","garlic",3648
"31871","China","soybean",3648
"31872","China","rice",3648
"31873","China","soy_sauce",3648
"31874","China","vinegar",3649
"31875","China","pepper",3649
"31876","China","green_bell_pepper",3649
"31877","China","wheat",3649
"31878","China","starch",3649
"31879","China","pineapple",3649
"31880","China","orange",3649
"31881","China","vegetable_oil",3649
"31882","China","chicken",3649
"31883","China","egg",3649
"31884","China","vegetable_oil",3650
"31885","China","soy_sauce",3650
"31886","China","vinegar",3650
"31887","China","sesame_oil",3650
"31888","China","broccoli",3650
"31889","China","cabbage",3651
"31890","China","vinegar",3651
"31891","China","red_wine",3651
"31892","China","wheat",3651
"31893","China","almond",3651
"31894","China","black_pepper",3651
"31895","China","scallion",3651
"31896","China","sesame_seed",3651
"31897","China","vegetable_oil",3651
"31898","China","chicken",3651
"31899","China","broccoli",3651
"31900","China","wheat",3652
"31901","China","almond",3652
"31902","China","egg",3652
"31903","China","lard",3652
"31904","China","pepper",3653
"31905","China","onion",3653
"31906","China","potato",3653
"31907","China","carrot",3653
"31908","China","turnip",3653
"31909","China","garlic",3653
"31910","China","chicken",3653
"31911","China","beef",3654
"31912","China","starch",3654
"31913","China","soy_sauce",3654
"31914","China","black_pepper",3654
"31915","China","garlic",3654
"31916","China","bell_pepper",3654
"31917","China","vegetable_oil",3654
"31918","China","cabbage",3654
"31919","China","tomato",3655
"31920","China","onion",3655
"31921","China","cayenne",3655
"31922","China","corn",3655
"31923","China","bacon",3655
"31924","China","garlic",3655
"31925","China","egg",3655
"31926","China","sesame_oil",3656
"31927","China","black_bean",3656
"31928","China","black_pepper",3656
"31929","China","ginger",3656
"31930","China","bean",3656
"31931","China","garlic",3656
"31932","China","vegetable_oil",3656
"31933","China","cilantro",3657
"31934","China","sesame_oil",3657
"31935","China","shiitake",3657
"31936","China","ginger",3657
"31937","China","scallion",3657
"31938","China","chicken",3657
"31939","China","rice",3657
"31940","China","soy_sauce",3657
"31941","China","pork_sausage",3657
"31942","China","cane_molasses",3658
"31943","China","coriander",3658
"31944","China","pepper",3658
"31945","China","sesame_oil",3658
"31946","China","fenugreek",3658
"31947","China","chicken_broth",3658
"31948","China","cashew",3658
"31949","China","cumin",3658
"31950","China","ginger",3658
"31951","China","scallion",3658
"31952","China","chicken",3658
"31953","China","sesame_seed",3658
"31954","China","soy_sauce",3658
"31955","China","starch",3658
"31956","China","turmeric",3658
"31957","China","olive_oil",3658
"31958","China","bell_pepper",3658
"31959","China","vinegar",3659
"31960","China","sesame_oil",3659
"31961","China","cayenne",3659
"31962","China","scallion",3659
"31963","China","carrot",3659
"31964","China","bell_pepper",3659
"31965","China","buckwheat",3659
"31966","China","rice",3659
"31967","China","peanut_oil",3660
"31968","China","vinegar",3660
"31969","China","pork",3660
"31970","China","sesame_oil",3660
"31971","China","soy_sauce",3660
"31972","China","cayenne",3660
"31973","China","scallion",3660
"31974","China","garlic",3660
"31975","China","bell_pepper",3660
"31976","China","rice",3660
"31977","China","chicken_broth",3660
"31978","China","wine",3660
"31979","China","butter",3661
"31980","China","onion",3661
"31981","China","soy_sauce",3661
"31982","China","black_pepper",3661
"31983","China","vegetable_oil",3661
"31984","China","chicken",3661
"31985","China","rice",3661
"31986","China","egg",3661
"31987","China","vinegar",3662
"31988","China","starch",3662
"31989","China","soy_sauce",3662
"31990","China","scallion",3662
"31991","China","chicken",3662
"31992","China","egg",3662
"31993","China","tomato",3663
"31994","China","vinegar",3663
"31995","China","pork",3663
