"","country","ingredients","recipe_id"
"32938","Germany","butter",3766
"32939","Germany","wheat",3766
"32940","Germany","citrus",3766
"32941","Germany","cherry",3766
"32942","Germany","lard",3766
"32943","Germany","orange",3766
"32944","Germany","egg",3766
"32945","Germany","butter",3767
"32946","Germany","vinegar",3767
"32947","Germany","apple",3767
"32948","Germany","onion",3767
"32949","Germany","starch",3767
"32950","Germany","cider",3767
"32951","Germany","black_pepper",3767
"32952","Germany","bay",3767
"32953","Germany","cabbage",3767
"32954","Germany","vinegar",3768
"32955","Germany","vanilla",3768
"32956","Germany","strawberry",3768
"32957","Germany","egg",3768
"32958","Germany","milk",3768
"32959","Germany","cream",3768
"32960","Germany","wheat",3769
"32961","Germany","vanilla",3769
"32962","Germany","raisin",3769
"32963","Germany","walnut",3769
"32964","Germany","lard",3769
"32965","Germany","egg",3769
"32966","Germany","cream",3769
"32967","Germany","tomato",3770
"32968","Germany","cane_molasses",3770
"32969","Germany","pepper",3770
"32970","Germany","cinnamon",3770
"32971","Germany","mustard",3770
"32972","Germany","onion",3770
"32973","Germany","vinegar",3770
"32974","Germany","fenugreek",3770
"32975","Germany","corn",3770
"32976","Germany","cider",3770
"32977","Germany","cumin",3770
"32978","Germany","meat",3770
"32979","Germany","beer",3770
"32980","Germany","garlic",3770
"32981","Germany","bell_pepper",3770
"32982","Germany","vegetable_oil",3770
"32983","Germany","coriander",3770
"32984","Germany","turmeric",3770
"32985","Germany","celery_oil",3770
"32986","Germany","butter",3771
"32987","Germany","vinegar",3771
"32988","Germany","mustard",3771
"32989","Germany","egg",3771
"32990","Germany","milk",3771
"32991","Germany","cream",3771
"32992","Germany","butter",3772
"32993","Germany","wheat",3772
"32994","Germany","egg",3772
"32995","Germany","vanilla",3772
"32996","Germany","nutmeg",3772
"32997","Germany","lemon_peel",3772
"32998","Germany","milk",3772
"32999","Germany","cheese",3773
"33000","Germany","wheat",3773
"33001","Germany","onion",3773
"33002","Germany","beef",3773
"33003","Germany","yeast",3773
"33004","Germany","sesame_seed",3773
"33005","Germany","vegetable_oil",3773
"33006","Germany","cabbage",3773
"33007","Germany","egg",3773
"33008","Germany","milk",3773
"33009","Germany","plum",3774
"33010","Germany","bread",3774
"33011","Germany","cinnamon",3774
"33012","Germany","cream",3774
"33013","Germany","butter",3775
"33014","Germany","lemon_juice",3775
"33015","Germany","wheat",3775
"33016","Germany","yeast",3775
"33017","Germany","lemon_peel",3775
"33018","Germany","vanilla",3775
"33019","Germany","almond",3775
"33020","Germany","raisin",3775
"33021","Germany","fruit",3775
"33022","Germany","lemon",3775
"33023","Germany","egg",3775
"33024","Germany","milk",3775
"33025","Germany","butter",3776
"33026","Germany","fish",3776
"33027","Germany","lemon",3776
"33028","Germany","smoke",3776
"33029","Germany","cream_cheese",3776
"33030","Germany","vinegar",3777
"33031","Germany","onion",3777
"33032","Germany","potato",3777
"33033","Germany","bacon",3777
"33034","Germany","black_pepper",3777
"33035","Germany","parsley",3777
"33036","Germany","pepper",3778
"33037","Germany","wheat",3778
"33038","Germany","mustard",3778
"33039","Germany","thyme",3778
"33040","Germany","red_wine",3778
"33041","Germany","garlic",3778
"33042","Germany","oyster",3778
"33043","Germany","vegetable_oil",3778
"33044","Germany","beef_broth",3778
"33045","Germany","egg",3778
"33046","Germany","mushroom",3778
"33047","Germany","bread",3778
"33048","Germany","vinegar",3779
