"","country","ingredients","recipe_id"
"27133","Korea","cane_molasses",3039
"27134","Korea","pepper",3039
"27135","Korea","sesame_oil",3039
"27136","Korea","beef",3039
"27137","Korea","soy_sauce",3039
"27138","Korea","cayenne",3039
"27139","Korea","scallion",3039
"27140","Korea","bean",3039
"27141","Korea","carrot",3039
"27142","Korea","garlic",3039
"27143","Korea","sesame_seed",3039
"27144","Korea","cucumber",3039
"27145","Korea","rice",3039
"27146","Korea","egg",3039
"27147","Korea","shiitake",3039
"27148","Korea","pepper",3040
"27149","Korea","chicken_broth",3040
"27150","Korea","cayenne",3040
"27151","Korea","pork",3040
"27152","Korea","bean",3040
"27153","Korea","garlic",3040
"27154","Korea","soy_sauce",3040
"27155","Korea","wheat",3041
"27156","Korea","sesame_oil",3041
"27157","Korea","soy_sauce",3041
"27158","Korea","black_pepper",3041
"27159","Korea","scallion",3041
"27160","Korea","garlic",3041
"27161","Korea","sesame_seed",3041
"27162","Korea","pepper",3042
"27163","Korea","onion",3042
"27164","Korea","mushroom",3042
"27165","Korea","potato",3042
"27166","Korea","cayenne",3042
"27167","Korea","bean",3042
"27168","Korea","garlic",3042
"27169","Korea","soybean",3042
"27170","Korea","rice",3042
"27171","Korea","zucchini",3042
"27172","Korea","sesame_oil",3043
"27173","Korea","beef",3043
"27174","Korea","soy_sauce",3043
"27175","Korea","scallion",3043
"27176","Korea","lettuce",3043
"27177","Korea","sesame_seed",3043
"27178","Korea","vegetable_oil",3043
"27179","Korea","rice",3043
"27180","Korea","roasted_beef",3043
"27181","Korea","potato",3044
"27182","Korea","soy_sauce",3044
"27183","Korea","cayenne",3044
"27184","Korea","scallion",3044
"27185","Korea","bell_pepper",3044
"27186","Korea","vegetable_oil",3044
"27187","Korea","sesame_seed",3044
"27188","Korea","peanut_oil",3045
"27189","Korea","cilantro",3045
"27190","Korea","fish",3045
"27191","Korea","pepper",3045
"27192","Korea","ginger",3045
"27193","Korea","shrimp",3045
"27194","Korea","crab",3045
"27195","Korea","vegetable_oil",3045
"27196","Korea","egg",3045
"27197","Korea","bread",3045
"27198","Korea","onion",3046
"27199","Korea","fish",3046
"27200","Korea","cayenne",3046
"27201","Korea","ginger",3046
"27202","Korea","scallion",3046
"27203","Korea","garlic",3046
"27204","Korea","cabbage",3046
"27205","Korea","sesame_oil",3047
"27206","Korea","starch",3047
"27207","Korea","soy_sauce",3047
"27208","Korea","black_pepper",3047
"27209","Korea","ginger",3047
"27210","Korea","maple_syrup",3047
"27211","Korea","garlic",3047
"27212","Korea","chicken",3047
"27213","Korea","brown_rice",3047
"27214","Korea","cane_molasses",3048
"27215","Korea","vinegar",3048
"27216","Korea","sesame_oil",3048
"27217","Korea","beef",3048
"27218","Korea","soy_sauce",3048
"27219","Korea","black_pepper",3048
"27220","Korea","onion",3048
"27221","Korea","garlic",3048
"27222","Korea","vinegar",3049
"27223","Korea","sesame_oil",3049
"27224","Korea","soy_sauce",3049
"27225","Korea","black_pepper",3049
"27226","Korea","scallion",3049
"27227","Korea","zucchini",3049
"27228","Korea","vinegar",3050
"27229","Korea","pepper",3050
"27230","Korea","wheat",3050
"27231","Korea","sesame_oil",3050
"27232","Korea","fish",3050
"27233","Korea","cayenne",3050
"27234","Korea","chinese_cabbage",3050
"27235","Korea","shrimp",3050
"27236","Korea","garlic",3050
"27237","Korea","ginger",3050
"27238","Korea","vegetable_oil",3050
"27239","Korea","scallion",3050
"27240","Korea","rice",3050
"27241","Korea","egg",3050
"27242","Korea","soy_sauce",3050
"27243","Korea","sesame_seed",3050
"27244","Korea","soy_sauce",3051
"27245","Korea","lemon_juice",3051
"27246","Korea","cayenne",3051
"27247","Korea","onion",3051
"27248","Korea","ginger",3051
"27249","Korea","vinegar",3052
"27250","Korea","sesame_oil",3052
"27251","Korea","soy_sauce",3052
"27252","Korea","cayenne",3052
"27253","Korea","ginger",3052
"27254","Korea","white_wine",3052
"27255","Korea","garlic",3052
"27256","Korea","cabbage",3052
"27257","Korea","scallion",3052
"27258","Korea","rice",3053
"27259","Korea","sesame_oil",3053
"27260","Korea","shrimp",3053
"27261","Korea","wine",3053
"27262","Korea","date",3054
"27263","Korea","nut",3054
"27264","Korea","rice",3054
"27265","Korea","soy_sauce",3055
