"","country","ingredients","recipe_id"
"333322","Malaysia","coconut",41701
"333323","Malaysia","onion",41701
"333324","Malaysia","shallot",41701
"333325","Malaysia","peanut",41701
"333326","Malaysia","fish",41701
"333327","Malaysia","cayenne",41701
"333328","Malaysia","ginger",41701
"333329","Malaysia","bay",41701
"333330","Malaysia","garlic",41701
"333331","Malaysia","vegetable_oil",41701
"333332","Malaysia","cucumber",41701
"333333","Malaysia","tamarind",41701
"333334","Malaysia","rice",41701
"333335","Malaysia","egg",41701
"333336","Malaysia","coriander",41702
"333337","Malaysia","olive_oil",41702
"333338","Malaysia","pepper",41702
"333339","Malaysia","onion",41702
"333340","Malaysia","fenugreek",41702
"333341","Malaysia","cashew",41702
"333342","Malaysia","cumin",41702
"333343","Malaysia","ginger",41702
"333344","Malaysia","garlic",41702
"333345","Malaysia","bell_pepper",41702
"333346","Malaysia","soybean",41702
"333347","Malaysia","potato",41702
"333348","Malaysia","lemongrass",41702
"333349","Malaysia","coconut",41702
"333350","Malaysia","turmeric",41702
"333351","Malaysia","coriander",41703
"333352","Malaysia","fenugreek",41703
"333353","Malaysia","pepper",41703
"333354","Malaysia","cumin",41703
"333355","Malaysia","garlic",41703
"333356","Malaysia","vegetable_oil",41703
"333357","Malaysia","chicken",41703
"333358","Malaysia","oyster",41703
"333359","Malaysia","turmeric",41703
"333360","Malaysia","tomato",41704
"333361","Malaysia","coriander",41704
"333362","Malaysia","pepper",41704
"333363","Malaysia","onion",41704
"333364","Malaysia","fenugreek",41704
"333365","Malaysia","lime_juice",41704
"333366","Malaysia","cayenne",41704
"333367","Malaysia","cumin",41704
"333368","Malaysia","shrimp",41704
"333369","Malaysia","seed",41704
"333370","Malaysia","garlic",41704
"333371","Malaysia","galanga",41704
"333372","Malaysia","vegetable_oil",41704
"333373","Malaysia","tamarind",41704
"333374","Malaysia","lemongrass",41704
"333375","Malaysia","turmeric",41704
"333376","Malaysia","sesame_oil",41705
"333377","Malaysia","onion",41705
"333378","Malaysia","soy_sauce",41705
"333379","Malaysia","black_pepper",41705
"333380","Malaysia","garlic",41705
"333381","Malaysia","basil",41705
"333382","Malaysia","chicken",41705
"333383","Malaysia","oyster",41705
"333384","Malaysia","coriander",41706
"333385","Malaysia","fenugreek",41706
"333386","Malaysia","pepper",41706
"333387","Malaysia","onion",41706
"333388","Malaysia","potato",41706
"333389","Malaysia","cumin",41706
"333390","Malaysia","ginger",41706
"333391","Malaysia","milk",41706
"333392","Malaysia","garlic",41706
"333393","Malaysia","yogurt",41706
"333394","Malaysia","chicken",41706
"333395","Malaysia","olive_oil",41706
"333396","Malaysia","coconut",41706
"333397","Malaysia","turmeric",41706
"333398","Malaysia","coriander",41707
"333399","Malaysia","coconut",41707
"333400","Malaysia","beef",41707
"333401","Malaysia","shallot",41707
"333402","Malaysia","cayenne",41707
"333403","Malaysia","cumin",41707
"333404","Malaysia","ginger",41707
"333405","Malaysia","fennel",41707
"333406","Malaysia","nutmeg",41707
"333407","Malaysia","cinnamon",41707
"333408","Malaysia","vegetable_oil",41707
"333409","Malaysia","garlic",41707
"333410","Malaysia","lemongrass",41707
"333411","Malaysia","vinegar",41708
"333412","Malaysia","mustard",41708
"333413","Malaysia","onion",41708
"333414","Malaysia","potato",41708
"333415","Malaysia","cayenne",41708
"333416","Malaysia","ginger",41708
"333417","Malaysia","shrimp",41708
"333418","Malaysia","vegetable_oil",41708
"333419","Malaysia","chicken",41708
"333420","Malaysia","lemongrass",41708
"333421","Malaysia","turmeric",41708
"333422","Malaysia","cane_molasses",41709
"333423","Malaysia","lemon_juice",41709
"333424","Malaysia","wheat",41709
"333425","Malaysia","vanilla",41709
"333426","Malaysia","walnut",41709
"333427","Malaysia","carrot",41709
"333428","Malaysia","cinnamon",41709
"333429","Malaysia","orange",41709
"333430","Malaysia","vegetable_oil",41709
"333431","Malaysia","milk",41709
"333432","Malaysia","whole_grain_wheat_flour",41709
"333433","Malaysia","coriander",41710
"333434","Malaysia","olive_oil",41710
"333435","Malaysia","pepper",41710
"333436","Malaysia","fenugreek",41710
"333437","Malaysia","cardamom",41710
"333438","Malaysia","cumin",41710
"333439","Malaysia","ginger",41710
"333440","Malaysia","star_anise",41710
"333441","Malaysia","shallot",41710
"333442","Malaysia","garlic",41710
"333443","Malaysia","cinnamon",41710
