node1,node2,weight,ingredients,percent_recipes
soy sauce,garlic,15,soy sauce & garlic,0.35
soy sauce,black pepper,14,soy sauce & black pepper,0.33
vegetable oil,onion,13,vegetable oil & onion,0.3
vegetable oil,garlic,13,vegetable oil & garlic,0.3
black pepper,garlic,13,black pepper & garlic,0.3
vinegar,garlic,11,vinegar & garlic,0.26
soy sauce,vegetable oil,11,soy sauce & vegetable oil,0.26
pork,black pepper,10,pork & black pepper,0.23
chicken,soy sauce,10,chicken & soy sauce,0.23
vegetable oil,black pepper,10,vegetable oil & black pepper,0.23
