DriversKilled,VanKilled,date
107,12,19690131
97,6,19690228
102,12,19690331
87,8,19690430
119,10,19690531
106,13,19690630
110,11,19690731
106,6,19690831
107,10,19690930
134,16,19691031
147,13,19691130
180,14,19691231
125,14,19700131
134,6,19700228
110,8,19700331
102,11,19700430
103,7,19700531
111,13,19700630
120,13,19700731
129,11,19700831
122,11,19700930
183,14,19701031
169,16,19701130
190,14,19701231
134,17,19710131
108,16,19710228
104,15,19710331
117,13,19710430
157,13,19710531
148,15,19710630
130,12,19710731
140,6,19710831
136,9,19710930
140,13,19711031
187,14,19711130
150,15,19711231
159,14,19720131
143,3,19720229
114,12,19720331
127,13,19720430
159,12,19720531
156,8,19720630
138,8,19720731
120,15,19720831
117,8,19720930
170,5,19721031
168,17,19721130
198,14,19721231
144,13,19730131
146,5,19730228
109,8,19730331
131,5,19730430
151,12,19730531
140,11,19730630
153,13,19730731
140,15,19730831
161,11,19730930
168,11,19731031
152,10,19731130
136,13,19731231
113,8,19740131
100,6,19740228
103,8,19740331
103,14,19740430
121,12,19740531
134,14,19740630
133,13,19740731
129,9,19740831
144,4,19740930
154,13,19741031
156,6,19741130
163,15,19741231
122,12,19750131
92,16,19750228
117,7,19750331
95,12,19750430
96,10,19750531
108,9,19750630
108,9,19750731
106,6,19750831
140,7,19750930
114,13,19751031
158,14,19751130
161,13,19751231
102,14,19760131
127,11,19760229
125,11,19760331
101,10,19760430
97,4,19760531
112,8,19760630
112,9,19760731
113,10,19760831
108,10,19760930
128,5,19761031
154,13,19761130
162,12,19761231
112,10,19770131
79,9,19770228
82,7,19770331
127,5,19770430
108,10,19770531
110,5,19770630
123,6,19770731
103,8,19770831
97,6,19770930
140,12,19771031
165,15,19771130
183,7,19771231
148,14,19780131
111,4,19780228
116,10,19780331
115,8,19780430
100,7,19780531
106,11,19780630
134,3,19780731
125,5,19780831
117,11,19780930
122,10,19781031
153,10,19781130
178,7,19781231
114,10,19790131
94,11,19790228
128,9,19790331
119,7,19790430
111,8,19790531
110,13,19790630
114,8,19790731
118,5,19790831
115,8,19790930
132,7,19791031
153,12,19791130
171,10,19791231
115,7,19800131
95,4,19800229
92,10,19800331
100,4,19800430
95,8,19800531
114,8,19800630
102,7,19800731
104,10,19800831
132,8,19800930
136,14,19801031
117,8,19801130
137,9,19801231
111,8,19810131
106,6,19810228
98,7,19810331
84,6,19810430
94,5,19810531
105,4,19810630
123,5,19810731
109,10,19810831
130,7,19810930
153,10,19811031
134,12,19811130
99,7,19811231
115,4,19820131
104,5,19820228
131,6,19820331
108,4,19820430
103,4,19820531
115,8,19820630
122,8,19820731
122,3,19820831
125,7,19820930
137,12,19821031
138,2,19821130
152,7,19821231
120,8,19830131
95,3,19830228
100,2,19830331
89,6,19830430
82,3,19830531
89,7,19830630
60,6,19830731
84,8,19830831
113,8,19830930
126,4,19831031
122,3,19831130
118,5,19831231
92,5,19840131
86,3,19840229
81,4,19840331
84,3,19840430
87,6,19840531
90,6,19840630
79,7,19840731
96,5,19840831
122,7,19840930
120,7,19841031
137,4,19841130
154,7,19841231
