"Murder","LifeExp","Region"
15.1,69.05,"South"
11.3,69.31,"West"
7.8,70.55,"West"
10.1,70.66,"South"
10.3,71.71,"West"
6.8,72.06,"West"
3.1,72.48,"North"
6.2,70.06,"South"
10.7,70.66,"South"
13.9,68.54,"South"
6.2,73.6,"West"
5.3,71.87,"West"
10.3,70.14,"North"
7.1,70.88,"North"
2.3,72.56,"North"
4.5,72.58,"North"
10.6,70.1,"South"
13.2,68.76,"South"
2.7,70.39,"North"
8.5,70.22,"South"
3.3,71.83,"North"
11.1,70.63,"North"
2.3,72.96,"North"
12.5,68.09,"South"
9.3,70.69,"North"
5,70.56,"West"
2.9,72.6,"North"
11.5,69.03,"West"
3.3,71.23,"North"
5.2,70.93,"North"
9.7,70.32,"West"
10.9,70.55,"North"
11.1,69.21,"South"
1.4,72.78,"North"
7.4,70.82,"North"
6.4,71.42,"South"
4.2,72.13,"West"
6.1,70.43,"North"
2.4,71.9,"North"
11.6,67.96,"South"
1.7,72.08,"North"
11,70.11,"South"
12.2,70.9,"South"
4.5,72.9,"West"
5.5,71.64,"North"
9.5,70.08,"South"
4.3,71.72,"West"
6.7,69.48,"South"
3,72.48,"North"
6.9,70.29,"West"
