"","title","year","length","rating","votes"
"7","$windle",2002,93,5.3,200
"15","'A' gai waak",1983,106,7.1,1259
"16","'A' gai waak juk jaap",1987,101,7.2,614
"19","'Crocodile' Dundee II",1988,110,5,7252
"23","'Gator Bait",1974,88,3.5,100
"45","'Sheba, Baby'",1975,90,5.5,91
"63","...All the Marbles",1981,113,5.6,348
"74","...Po prozvishchu 'Zver'",1990,88,4.7,11
"86","...tick...tick...tick...",1970,100,6,145
"93","002 agenti segretissimi",1964,83,3.6,6
"109","10 Magnificent Killers",1977,84,2.6,9
"113","10 Violent Women",1982,95,3.8,31
"118","10 to Midnight",1983,101,5.4,530
"169","13 Dead Men",2003,85,2.2,69
"186","13th Warrior, The",1999,102,6.1,14344
"202","16 December",2002,158,7.3,26
"215","18 Weapons of Kung Fu",1977,89,2,21
"233","1942: A Love Story",1993,157,6.5,210
"236","1958",1980,96,5.9,23
"241","1990: I guerrieri del Bronx",1982,89,3.9,181
"251","2 Fast 2 Furious",2003,107,5.1,9556
"252","2 G's & a Key",2000,97,4.4,44
"270","20,000 Leagues Under the Sea",1916,105,6.2,135
"281","2001 Yonggary",1999,99,3.1,241
"284","2002: The Rape of Eden",1994,90,4,24
"285","2009: Lost Memories",2002,136,6.6,639
"289","2019 - Dopo la caduta di New York",1983,91,5.3,176
"357","3 Ninjas",1992,98,4,1392
"358","3 Ninjas Kick Back",1994,93,3.5,565
"359","3 Ninjas Knuckle Up",1995,85,2.9,324
"360","3 Ninjas: High Noon at Mega Mountain",1998,93,2.2,744
"369","3 dev adam",1973,81,5.2,36
"372","3-4x juugatsu",1990,96,6.6,761
"385","3000 Miles to Graceland",2001,125,5.4,7298
"391","34-y skoryy",1981,83,7.3,8
"399","36 ore all'inferno",1969,93,3.7,7
"407","3:15",1986,86,4.5,94
"441","405",2000,11,6.9,250
"443","42K",2000,90,5.1,25
"448","48 Hrs.",1982,96,6.8,8742
"453","4D Man",1959,85,5.2,192
"460","5 Dark Souls",1996,94,7.3,11
"478","50CC",2000,41,5.9,7
"480","51st State, The",2001,92,6.1,6752
"481","52 Pick-Up",1986,110,5.9,609
"499","666 mo gui fu huo",1996,100,5.3,54
"505","6th Day, The",2000,123,5.9,12064
"508","7 Lucky Ninja Kids",1989,90,4.8,19
"509","7 Star Grand Mantis",1983,85,3.1,7
"516","7 jin gong",1994,90,5.4,67
"517","7 pra-jan-barn",2002,110,4.8,15
"521","72 Desperate Rebels",1972,93,3.3,8
"523","72 metra",2004,100,6,147
"531","7th Voyage of Sinbad, The",1958,88,6.9,1224
"535","8 Million Ways to Die",1986,115,4.9,642
"567","92 hak mooi gwai dui hak mooi gwai",1992,100,5.9,32
"569","9413",1998,90,6.3,12
"578","99 mujeres",1969,108,5.6,62
"588","A 008, operazione Sterminio",1965,84,6.1,7
"616","A zori zdes tikhie",1972,188,8.6,137
"627","A.D.3 operazione squalo bianco",1966,82,1.2,5
"648","AVP: Alien Vs. Predator",2004,102,5.4,14651
"656","Aakhree Raasta",1986,164,8.2,46
"661","Aan: Men at Work",2004,149,4.8,20
"675","Aashiq",2001,160,3.7,11
"678","Aatish",1994,155,8.6,16
"679","Aau chin",1999,93,7.1,690
"680","Aau chin 2",2001,95,5.9,138
"681","Aau dut",1997,81,7.1,230
"715","Abducted II: The Reunion",1994,92,3.1,64
"720","Abductors, The",1972,91,4,83
"738","Abgefahren",2004,86,4.5,93
"747","Ablaze",2001,97,3.6,98
"770","Above and Beyond",1952,122,6.6,119
"773","Above the Law",1988,93,5.2,3126
"779","Abraxas, Guardian of the Universe",1991,90,3.3,190
"794","Absolon",2003,96,4.1,548
"800","Absolute Force",1997,91,6.2,9
"801","Absolute Giganten",1999,72,7.6,660
"821","Abyss, The",1989,171,7.4,21987
"845","Accountant, The",1999,50,6.3,19
"852","Ace Drummond",1936,255,6.9,22
"860","Aces High",1976,114,6.2,315
"863","Aces: Iron Eagle III",1992,98,3.2,536
"883","Acquasanta Joe",1971,94,4.8,15
"907","Act of Piracy",1988,101,4.2,73
"910","Act of War",1998,94,3.5,64
"920","Action Jackson",1988,96,4.4,1743
"922","Action Nitsch-Journiac",1989,10,5.7,6
"924","Action U.S.A.",1989,89,5,21
"925","Action de corps exclu",1983,15,8.7,6
"929","Action of the Tiger",1957,93,4.9,65
"931","Active Stealth",1999,99,3,146
"938","Acts of Betrayal",1997,90,4.6,94
"1000","Adieu l'ami",1968,115,6,169
"1029","Adrenalin: Fear the Rush",1996,88,3.5,664
"1030","Adrenaline",2000,97,5.8,8
"1068","Adventures of Dollie, The",1908,12,5.1,34
"1072","Adventures of Ford Fairlane, The",1990,104,5.2,4133
"1091","Adventures of Pluto Nash, The",2002,95,3.9,2543
"1097","Adventures of Rex and Rinty, The",1935,229,4.6,5
"1098","Adventures of Robin Hood, The",1938,102,8.2,7359
