"","title","year","length","rating","votes","budget","budget class"
"22","'G' Men",1935,85,7.2,281,450000,"0-10"
"35","'Manos' the Hands of Fate",1966,74,1.6,7996,19000,"0-10"
"48","'Til There Was You",1997,113,4.8,799,23000000,"20-30"
"91",".com for Murder",2002,96,3.7,271,5000000,"0-10"
"112","10 Things I Hate About You",1999,97,6.7,19095,16000000,"10-20"
"124","100 Mile Rule",2002,98,5.6,181,1100000,"0-10"
"126","100 Proof",1997,94,3.3,19,140000,"0-10"
"139","101",1989,117,7.8,299,200000,"0-10"
"143","101-vy kilometer",2001,103,5.8,7,200000,"0-10"
"145","102 Dalmatians",2000,100,4.7,1987,85000000,"80-90"
"154","11:14",2003,95,7.1,605,6000000,"0-10"
"156","12 Angry Men",1957,96,8.7,29278,340000,"0-10"
"164","12 to the Moon",1960,74,2.8,89,150000,"0-10"
"173","13 Going On 30",2004,98,6.4,7859,37000000,"30-40"
"186","13th Warrior, The",1999,102,6.1,14344,85000000,"80-90"
"192","1492: Conquest of Paradise",1992,154,6,3379,47000000,"40-50"
"197","15 Minutes",2001,120,6.1,10866,42000000,"40-50"
"210","1776",1972,180,7.3,1754,4000000,"0-10"
"225","1900",1976,245,7.5,2408,9000000,"0-10"
"232","1941",1979,146,5.6,5536,35000000,"30-40"
"251","2 Fast 2 Furious",2003,107,5.1,9556,76000000,"70-80"
"265","20 Dates",1998,87,5.4,841,60000,"0-10"
"270","20,000 Leagues Under the Sea",1916,105,6.2,135,200000,"0-10"
"276","200 Cigarettes",1999,101,5.4,4514,6000000,"0-10"
"277","200 Motels",1971,98,5.2,338,679000,"0-10"
"280","20000 Leagues Under the Sea",1954,127,7.1,2741,5000000,"0-10"
"282","2001: A Space Odyssey",1968,156,8.3,64982,10500000,"10-20"
"283","2001: A Space Travesty",2000,99,2.5,2023,26000000,"20-30"
"291","2046",2004,129,7.6,2663,12000000,"10-20"
"297","21 Grams",2003,124,8,21857,20000000,"20-30"
"311","24 Hour Woman, The",1999,93,5.6,149,2500000,"0-10"
"324","25 Watts",2001,92,7,275,200000,"0-10"
"326","25th Hour",2002,135,7.8,15788,15000000,"10-20"
"333","28 Days",2000,103,6,7465,43000000,"40-50"
"334","28 Days Later...",2002,113,7.3,24174,8000000,"0-10"
"346","3 AM",2003,22,4.8,11,32000,"0-10"
"364","3 Strikes",2000,82,3.7,305,6000000,"0-10"
"367","3 Women",1977,124,7.7,912,1500000,"0-10"
"385","3000 Miles to Graceland",2001,125,5.4,7298,62000000,"60-70"
"432","40 Days and 40 Nights",2002,96,5.4,8609,17000000,"10-20"
"444","42nd Street",1933,89,7.5,1247,439000,"0-10"
"460","5 Dark Souls",1996,94,7.3,11,1500,"0-10"
"461","5 Dead on the Crimson Canvas",1996,96,2,24,25000,"0-10"
"471","5,000 Fingers of Dr. T., The",1953,89,6.7,699,1600000,"0-10"
"472","50 First Dates",2004,99,6.8,13497,75000000,"70-80"
"480","51st State, The",2001,92,6.1,6752,28000000,"20-30"
"483","54",1998,100,5.4,6905,13000000,"10-20"
"484","55 Days at Peking",1963,150,6.6,700,17000000,"10-20"
"505","6th Day, The",2000,123,5.9,12064,82000000,"80-90"
"523","72 metra",2004,100,6,147,1600000,"0-10"
"531","7th Voyage of Sinbad, The",1958,88,6.9,1224,650000,"0-10"
"534","8 Mile",2002,110,6.8,17900,41000000,"40-50"
"541","80's Ending",2003,9,8.3,15,10000,"0-10"
"550","8MM",1999,123,5.9,18541,40000000,"40-50"
"558","90",2005,14,9.1,10,4000,"0-10"
"582","9:30",2004,13,7.1,11,12000,"0-10"
"632","A.N.I. 1240",2003,13,5.9,9,8000,"0-10"
"644","ABCD",1999,105,5.4,88,200000,"0-10"
"648","AVP: Alien Vs. Predator",2004,102,5.4,14651,45000000,"40-50"
"688","Abandon",2002,99,4.7,2364,25000000,"20-30"
"698","Abbott and Costello Go to Mars",1953,81,5.2,455,754000,"0-10"
"699","Abbott and Costello Meet Captain Kidd",1952,75,5.3,255,450000,"0-10"
"710","Abby",1974,89,5.9,75,400000,"0-10"
"711","Abby Singer",2003,79,3.5,39,1500,"0-10"
"735","Aberdeen",2000,106,7.3,644,6500000,"0-10"
"748","Able Edwards",2004,87,6.2,24,30000,"0-10"
"749","Able's House Is Green, The",2003,13,9.4,5,6800,"0-10"
"762","About Schmidt",2002,125,7.3,23279,30000000,"30-40"
"763","About a Boy",2002,101,7.5,18318,27000000,"20-30"
"783","Abschied",1930,80,6.7,14,15000,"0-10"
"794","Absolon",2003,96,4.1,548,8000000,"0-10"
"802","Absolute Power",1997,121,6.4,7995,50000000,"50-60"
"806","Absolution",2001,23,1.6,8,13000,"0-10"
"821","Abyss, The",1989,171,7.4,21987,69500000,"60-70"
"834","Accident",1967,105,7.1,340,600000,"0-10"
"845","Accountant, The",1999,50,6.3,19,5000,"0-10"
"855","Ace Ventura: Pet Detective",1994,86,6.2,20705,12000000,"10-20"
"856","Ace Ventura: When Nature Calls",1995,90,4.9,15161,30000000,"30-40"
"857","Ace in the Hole",1951,111,7.9,1097,1821052,"0-10"
"902","Across the Wide Missouri",1951,78,6.1,209,5000000,"0-10"
"903","Across to Singapore",1928,86,6.4,53,290000,"0-10"
"934","Actors Anonymous: The Truth Behind the Dream",2003,60,3.2,8,30000,"0-10"
"938","Acts of Betrayal",1997,90,4.6,94,3000000,"0-10"
"954","Adam Had Four Sons",1941,81,6.2,76,488000,"0-10"
"966","Adaptation.",2002,114,7.9,25140,19000000,"10-20"
"969","Addams Family, The",1991,99,6.4,11549,38000000,"30-40"
"1041","Adventure",1945,135,5.4,106,3500000,"0-10"
"1051","Adventure's End",1937,60,3.3,16,90000,"0-10"
"1058","Adventures of Baron Munchausen, The",1988,125,6.8,7927,46630000,"40-50"
"1061","Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,6.6,4556,4000000,"0-10"
"1068","Adventures of Dollie, The",1908,12,5.1,34,0,"0-10"
"1071","Adventures of Elmo in Grouchland, The",1999,89,5.5,420,17000000,"10-20"
"1079","Adventures of Huck Finn, The",1993,108,5.9,1134,6500000,"0-10"
"1084","Adventures of Lucky Pierre, The",1961,70,1.9,15,7100,"0-10"
"1085","Adventures of Marco Polo, The",1938,100,5.8,136,2000000,"0-10"
"1090","Adventures of Pinocchio, The",1996,92,5.6,577,25000000,"20-30"
"1091","Adventures of Pluto Nash, The",2002,95,3.9,2543,100000000,"100-110"
"1098","Adventures of Robin Hood, The",1938,102,8.2,7359,1900000,"0-10"
"1099","Adventures of Rocky & Bullwinkle, The",2000,88,4.3,4815,76000000,"70-80"
"1154","Affairs of Cellini, The",1934,80,5.8,43,549370,"0-10"
"1159","Affairs with Bears",2002,27,8.3,6,7000,"0-10"
"1166","Affliction",1997,114,6.9,3679,6000000,"0-10"
"1220","After Hours",1985,96,7.4,5630,4500000,"0-10"
"1221","After Image",2001,92,3.9,60,1200000,"0-10"
"1223","After Midnight",1989,90,5.1,160,3000000,"0-10"
"1229","After Sex",2000,96,4.5,205,5000000,"0-10"
"1235","After the Sunset",2004,97,6,3431,58000000,"50-60"
"1248","Afterschool Delight",2003,10,6.3,5,5000,"0-10"
"1272","Age of Innocence",1977,101,6.1,47,850000,"0-10"
"1274","Age of Innocence, The",1993,139,7.1,6049,34000000,"30-40"
"1281","Agent Cody Banks",2003,102,5.5,2655,26000000,"20-30"
"1282","Agent Cody Banks 2: Destination London",2004,100,3.8,919,26000000,"20-30"
"1287","Agent on Ice",1985,96,4.4,15,2500000,"0-10"
"1363","Aida degli alberi",2001,75,4.3,16,7000000,"0-10"
"1372","Aimee Semple McPherson",2004,112,8.4,8,500000,"0-10"
"1385","Air Bud",1997,98,4.7,1276,3000000,"0-10"
"1389","Air Force One",1997,124,6.3,26156,85000000,"80-90"
"1393","Air Marshal",2003,90,3,81,500000,"0-10"
"1401","Airborne",1993,91,5.2,1047,2600000,"0-10"
"1406","Airmail",1932,84,6,76,305000,"0-10"
"1409","Airplane!",1980,88,7.8,23369,3500000,"0-10"
"1410","Airport",1970,137,6.4,2918,10000000,"10-20"
"1412","Airport 1975",1974,107,4.9,1385,3000000,"0-10"
"1445","Akasha",2001,82,7.3,29,1500,"0-10"
"1468","Akumulator 1",1994,102,7.1,272,2000000,"0-10"
"1491","Aladdin",1992,90,7.6,22499,28000000,"20-30"
"1504","Alamo, The",1960,192,6.6,2083,12000000,"10-20"
"1505","Alamo, The",2004,137,5.9,3060,95000000,"90-100"
"1508","Alan Smithee Film: Burn Hollywood Burn, An",1997,86,3.2,1262,10000000,"10-20"
"1530","Albino Alligator",1996,97,6,2077,5000000,"0-10"
"1557","Alex's Apartment",1992,80,6.8,6,45000,"0-10"
"1559","Alexander",2004,175,5.5,11254,150000000,"150-160"
"1562","Alexander's Ragtime Band",1938,106,7.5,204,2000000,"0-10"
"1575","Alferd Packer: The Musical",1996,97,7,2298,125000,"0-10"
"1576","Alfie",1966,114,7.1,1644,800000,"0-10"
"1577","Alfie",2004,103,6,3492,60000000,"60-70"
"1586","Ali",2001,165,6.4,9294,107000000,"100-110"
"1597","Alias",2002,98,5.7,266,1500000,"0-10"
"1623","Alice",1990,102,6.4,1706,12000000,"10-20"
"1629","Alice Doesn't Live Here Anymore",1974,112,7.3,2231,85000,"0-10"
"1639","Alice in Wonderland",1951,75,7.2,4656,3000000,"0-10"
"1643","Alice's Adventures in Wonderland",1972,95,5.6,165,2500000,"0-10"
"1652","Alien",1979,116,8.3,63400,11000000,"10-20"
"1654","Alien Abduction",2005,90,1.9,73,600000,"0-10"
"1658","Alien Dead",1980,69,2.4,112,12000,"0-10"
"1660","Alien Escape",1997,85,5.6,23,1000000,"0-10"
"1666","Alien Nation",1988,91,6,2171,16000000,"10-20"
"1677","Alien: Resurrection",1997,116,6,24358,70000000,"70-80"
"1679","Aliens",1986,154,8.3,63961,18500000,"10-20"
"1693","Alive",1993,127,6.7,5786,32000000,"30-40"
"1707","All About the Benjamins",2002,95,5.4,1250,14000000,"10-20"
"1748","All Quiet on the Western Front",1930,147,8.2,6835,1200000,"0-10"
"1758","All This, and Heaven Too",1940,141,7.4,441,1370000,"0-10"
"1759","All Through the Night",1942,107,7,361,750000,"0-10"
"1784","All the President's Men",1976,138,8,12724,8500000,"0-10"
"1785","All the Pretty Horses",2000,116,5.6,3133,45000000,"40-50"
"1786","All the Queen's Men",2001,105,5,353,25000000,"20-30"
"1789","All the Real Girls",2003,108,6.8,1745,1000000,"0-10"
"1792","All the Stage Is a World",2005,89,7,7,12000,"0-10"
"1793","All the Vermeers in New York",1990,87,5.9,126,250000,"0-10"
"1851","Alligator",1980,89,5.5,1032,1000000,"0-10"
"1854","Alligator II: The Mutation",1991,92,2.7,282,3000000,"0-10"
"1884","Almost Famous",2000,162,8,38648,60000000,"60-70"
"1892","Almost You",1985,96,4.9,44,1000000,"0-10"
"1897","Aloha, Bobby and Rose",1975,85,5,90,60000,"0-10"
"1903","Alone in the Dark",2005,96,2.1,2880,20000000,"20-30"
"1911","Along Came Polly",2004,90,5.8,9785,42000000,"40-50"
"1912","Along Came a Spider",2001,104,6.1,9456,28000000,"20-30"
"1914","Along for the Ride",2000,99,7.6,15,150000,"0-10"
"1923","Alpha Dead",2004,11,8,6,5000,"0-10"
"1924","Alpha Incident, The",1978,95,4,40,200000,"0-10"
"1940","Als je begrijpt wat ik bedoel",1983,84,7.5,224,2000000,"0-10"
"1967","Always",1989,106,6.2,4913,29500000,"20-30"
"1970","Always Late",2004,6,5.8,8,1000,"0-10"
"1986","Amadeus",1984,180,8.3,36955,18000000,"10-20"
"2082","Ame agaru",1999,91,7.8,448,3800000,"0-10"
"2087","America 3000",1986,84,3.7,123,2000000,"0-10"
"2098","America's Sweethearts",2001,102,5.8,11849,48000000,"40-50"
"2106","American Beauty",1999,121,8.5,109991,15000000,"10-20"
"2110","American Bickman Burger, The",2001,18,5.7,13,100000,"0-10"
"2114","American Boy: A Profile of: Steven Prince",1978,55,7.2,69,155000,"0-10"
"2122","American Desi",2001,100,6.8,291,250000,"0-10"
"2131","American Drive-In",1985,92,4.1,25,10000000,"10-20"
"2142","American Gigolo",1980,117,5.7,2469,4800000,"0-10"
"2144","American Graffiti",1973,110,7.6,12758,777000,"0-10"
"2149","American History X",1998,119,8.4,59677,10000000,"10-20"
"2154","American Jedi",2002,8,7.9,9,2000,"0-10"
"2160","American Me",1992,125,6.6,697,16000000,"10-20"
"2167","American Ninja 2: The Confrontation",1987,90,3.7,641,350000,"0-10"
"2172","American Outlaws",2001,94,5.5,2878,35000000,"30-40"
"2178","American Pie",1999,95,6.8,41126,11000000,"10-20"
"2179","American Pie 2",2001,105,6.3,22752,30000000,"30-40"
"2181","American President, The",1995,114,6.9,11834,62000000,"60-70"
"2182","American Psycho",2000,102,6.8,21639,8000000,"0-10"
"2183","American Raspberry",1977,75,5.5,17,50000,"0-10"
"2208","American Wedding",2003,103,6.3,13590,55000000,"50-60"
"2209","American Werewolf in London, An",1981,92,7.2,8347,10000000,"10-20"
"2210","American Werewolf in Paris, An",1997,105,5,4302,22000000,"20-30"
"2212","American Yearbook",2004,90,9.3,23,500000,"0-10"
"2213","American in Paris, An",1951,113,7.4,3736,2723903,"0-10"
"2252","Amistad",1997,152,7,10543,40000000,"40-50"
"2255","Amityville Horror, The",2005,90,5.8,2945,18000000,"10-20"
"2296","Amor y el espanto, El",2001,110,7,7,650000,"0-10"
"2321","Amores perros",2000,153,8.2,15079,2000000,"0-10"
"2382","Anaconda",1997,89,4.1,10510,45000000,"40-50"
"2383","Anacondas: The Hunt for the Blood Orchid",2004,97,4.2,2258,25000000,"20-30"
"2391","Analyze This",1999,109,6.6,24521,30000000,"30-40"
"2403","Anastasia",1997,94,6.5,4896,53000000,"50-60"
"2414","Anatomy of a Fight",2003,80,6.5,24,17000,"0-10"
"2429","Anchorman: The Legend of Ron Burgundy",2004,104,6.5,11553,26000000,"20-30"
"2435","And Baby Makes Three",1949,84,5.3,22,700000,"0-10"
"2438","And I Lived",2005,107,9.4,5,20000,"0-10"
"2441","And Now for Something Completely Different",1971,85,7.4,3539,100000,"0-10"
"2449","And Then Came Summer",2000,115,4.1,60,2300,"0-10"
"2489","Andy",1985,73,8.1,12,125000,"0-10"
"2499","Andy in Love",2004,11,8.2,5,4000,"0-10"
"2518","Angel Eyes",2001,102,5.6,4829,38000000,"30-40"
"2520","Angel Heart",1987,113,7.1,8335,17000000,"10-20"
"2557","Angela's Ashes",1999,145,6.8,4347,25000000,"20-30"
"2593","Anger Management",2003,106,6,14280,75000000,"70-80"
"2604","Angry Red Planet, The",1960,83,4.7,406,190000,"0-10"
"2617","Anima",2003,26,7.9,12,50000,"0-10"
"2628","Animal House",1978,109,7.5,17609,3000000,"0-10"
"2637","Animal, The",2001,84,4.8,5605,22000000,"20-30"
"2653","Animatrix: Final Flight of the Osiris, The",2003,11,7.6,1536,5000000,"0-10"
"2679","Ann Vickers",1933,76,6.1,46,303000,"0-10"
"2687","Anna Christie",1930,89,6.6,252,376000,"0-10"
"2691","Anna Karenina",1935,95,7.3,476,1152000,"0-10"
"2702","Anna and the King",1999,148,6.6,6739,75000000,"70-80"
"2725","Annie",1982,126,5.7,3475,50000000,"50-60"
"2727","Annie Get Your Gun",1950,107,7.2,529,3768785,"0-10"
"2728","Annie Hall",1977,93,8.3,21462,4000000,"0-10"
"2763","Another Language",1933,77,6.6,12,272297,"0-10"
"2773","Another Woman",1988,84,7.2,1380,10000000,"10-20"
"2774","Another You",1991,94,4.4,398,26000000,"20-30"
"2792","Anthony Adverse",1936,141,6.7,203,1050500,"0-10"
"2797","Anthrax",2001,90,4.1,49,2500000,"0-10"
"2812","Antikiller",2002,114,5.4,231,5000000,"0-10"
"2817","Antitrust",2001,108,6,7326,30000000,"30-40"
"2818","Antman, The",2002,94,7.2,53,800000,"0-10"
"2831","Antony and Cleopatra",1972,160,4.9,84,1600000,"0-10"
"2836","Antwone Fisher",2002,117,7.4,4472,12500000,"10-20"
"2838","Antz",1998,83,7,16312,60000000,"60-70"
"2842","Anus Magillicutty",2003,70,1.8,488,5000,"0-10"
"2845","Any Given Sunday",1999,156,6.4,19531,62000000,"60-70"
"2848","Any Number Can Play",1949,112,6.3,67,1465641,"0-10"
"2859","Anyone",2004,8,9.6,7,1000,"0-10"
"2861","Anything Else",2003,108,6.5,3678,18000000,"10-20"
"2862","Anything Goes",1936,92,6,44,1100000,"0-10"
"2867","Anywhere But Here",1999,114,5.9,4007,23000000,"20-30"
"2890","Apache Woman",1955,69,4,23,80000,"0-10"
"2899","Aparte",2002,91,8.5,24,90000,"0-10"
"2903","Apartment Zero",1988,124,6.2,933,4000000,"0-10"
"2905","Apartment, The",1960,125,8.4,11214,3000000,"0-10"
"2924","Apocalypse Now",1979,202,8.5,64785,31500000,"30-40"
"2927","Apollo 13",1995,140,7.5,41098,62000000,"60-70"
"2931","Apostle, The",1997,134,7.2,4231,5000000,"0-10"
"2960","Appointment, The",1996,89,5.3,8,45000,"0-10"
"2988","Apt Pupil",1998,112,6.4,6728,14000000,"10-20"
"3012","Arachnophobia",1990,103,6.1,8608,31000000,"30-40"
"3035","Arc",2004,30,9.4,10,9000,"0-10"
"3040","Arch of Triumph",1948,133,5.6,169,5000000,"0-10"
"3061","Are These Our Children",1931,84,6,26,400000,"0-10"
"3064","Are We There Yet?",2005,95,3.5,1043,32000000,"30-40"
"3069","Are You Popular?",1947,10,4.3,18,11000,"0-10"
"3085","Argentino en New York, Un",1998,95,4.2,49,3000000,"0-10"
"3099","Aristocats, The",1970,78,6.6,2972,4000000,"0-10"
"3102","Arizona",1940,121,6.8,67,2000000,"0-10"
"3124","Arlington Road",1999,117,7.1,17189,21500000,"20-30"
"3129","Armageddon",1998,153,5.7,45330,140000000,"140-150"
"3137","Armed Response",1986,86,4.2,70,1500000,"0-10"
"3151","Army of Darkness",1993,96,7.4,22118,11000000,"10-20"
"3159","Around the Fire",1999,106,5.3,254,1200000,"0-10"
"3162","Around the World in 80 Days",2004,120,5.7,3887,110000000,"110-120"
"3163","Around the World in Eighty Days",1956,175,6.8,2589,6000000,"0-10"
"3173","Arrangement",2004,109,9.2,23,3200000,"0-10"
"3206","Art Thief Musical!",2004,20,8.5,6,25000,"0-10"
"3221","Arthur",1981,97,6.6,4595,7000000,"0-10"
"3229","Artie Shaw: Time Is All You've Got",1985,114,7.9,18,250000,"0-10"
"3231","Artificial Intelligence: AI",2001,146,6.8,36623,90000000,"90-100"
"3238","Artists and Models",1955,109,6.2,433,1500000,"0-10"
"3257","As Good as It Gets",1997,139,7.7,47441,50000000,"50-60"
