"","title","year","length","rating","votes","budget","genre"
"22","'G' Men",1935,85,7.2,281,450000,"drama"
"124","100 Mile Rule",2002,98,5.6,181,1100000,"comedy"
"126","100 Proof",1997,94,3.3,19,140000,"drama"
"139","101",1989,117,7.8,299,200000,"documentary"
"143","101-vy kilometer",2001,103,5.8,7,200000,"drama"
"145","102 Dalmatians",2000,100,4.7,1987,85000000,"comedy"
"156","12 Angry Men",1957,96,8.7,29278,340000,"drama"
"186","13th Warrior, The",1999,102,6.1,14344,85000000,"action"
"192","1492: Conquest of Paradise",1992,154,6,3379,47000000,"drama"
"197","15 Minutes",2001,120,6.1,10866,42000000,"drama"
"210","1776",1972,180,7.3,1754,4000000,"drama"
"225","1900",1976,245,7.5,2408,9000000,"drama"
"232","1941",1979,146,5.6,5536,35000000,"comedy"
"251","2 Fast 2 Furious",2003,107,5.1,9556,76000000,"action"
"270","20,000 Leagues Under the Sea",1916,105,6.2,135,200000,"action"
"277","200 Motels",1971,98,5.2,338,679000,"comedy"
"280","20000 Leagues Under the Sea",1954,127,7.1,2741,5000000,"drama"
"283","2001: A Space Travesty",2000,99,2.5,2023,26000000,"comedy"
"297","21 Grams",2003,124,8,21857,20000000,"drama"
"311","24 Hour Woman, The",1999,93,5.6,149,2500000,"comedy"
"326","25th Hour",2002,135,7.8,15788,15000000,"drama"
"333","28 Days",2000,103,6,7465,43000000,"drama"
"364","3 Strikes",2000,82,3.7,305,6000000,"comedy"
"367","3 Women",1977,124,7.7,912,1500000,"drama"
"460","5 Dark Souls",1996,94,7.3,11,1500,"action"
"483","54",1998,100,5.4,6905,13000000,"drama"
"484","55 Days at Peking",1963,150,6.6,700,17000000,"drama"
"505","6th Day, The",2000,123,5.9,12064,82000000,"action"
"531","7th Voyage of Sinbad, The",1958,88,6.9,1224,650000,"action"
"534","8 Mile",2002,110,6.8,17900,41000000,"drama"
"541","80's Ending",2003,9,8.3,15,10000,"comedy"
"644","ABCD",1999,105,5.4,88,200000,"drama"
"648","AVP: Alien Vs. Predator",2004,102,5.4,14651,45000000,"action"
"688","Abandon",2002,99,4.7,2364,25000000,"drama"
"698","Abbott and Costello Go to Mars",1953,81,5.2,455,754000,"comedy"
"699","Abbott and Costello Meet Captain Kidd",1952,75,5.3,255,450000,"comedy"
"735","Aberdeen",2000,106,7.3,644,6500000,"drama"
"748","Able Edwards",2004,87,6.2,24,30000,"drama"
"749","Able's House Is Green, The",2003,13,9.4,5,6800,"drama"
"794","Absolon",2003,96,4.1,548,8000000,"action"
"802","Absolute Power",1997,121,6.4,7995,50000000,"drama"
"834","Accident",1967,105,7.1,340,600000,"drama"
"845","Accountant, The",1999,50,6.3,19,5000,"action"
"855","Ace Ventura: Pet Detective",1994,86,6.2,20705,12000000,"comedy"
"856","Ace Ventura: When Nature Calls",1995,90,4.9,15161,30000000,"comedy"
"857","Ace in the Hole",1951,111,7.9,1097,1821052,"drama"
"903","Across to Singapore",1928,86,6.4,53,290000,"drama"
"934","Actors Anonymous: The Truth Behind the Dream",2003,60,3.2,8,30000,"documentary"
"938","Acts of Betrayal",1997,90,4.6,94,3000000,"action"
"969","Addams Family, The",1991,99,6.4,11549,38000000,"comedy"
"1058","Adventures of Baron Munchausen, The",1988,125,6.8,7927,46630000,"comedy"
"1061","Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,6.6,4556,4000000,"comedy"
"1068","Adventures of Dollie, The",1908,12,5.1,34,0,"action"
"1071","Adventures of Elmo in Grouchland, The",1999,89,5.5,420,17000000,"comedy"
"1079","Adventures of Huck Finn, The",1993,108,5.9,1134,6500000,"drama"
"1084","Adventures of Lucky Pierre, The",1961,70,1.9,15,7100,"comedy"
"1154","Affairs of Cellini, The",1934,80,5.8,43,549370,"comedy"
"1159","Affairs with Bears",2002,27,8.3,6,7000,"documentary"
"1166","Affliction",1997,114,6.9,3679,6000000,"drama"
"1220","After Hours",1985,96,7.4,5630,4500000,"comedy"
"1248","Afterschool Delight",2003,10,6.3,5,5000,"comedy"
"1287","Agent on Ice",1985,96,4.4,15,2500000,"action"
"1363","Aida degli alberi",2001,75,4.3,16,7000000,"animation"
"1372","Aimee Semple McPherson",2004,112,8.4,8,500000,"drama"
"1393","Air Marshal",2003,90,3,81,500000,"action"
"1401","Airborne",1993,91,5.2,1047,2600000,"comedy"
"1406","Airmail",1932,84,6,76,305000,"drama"
"1409","Airplane!",1980,88,7.8,23369,3500000,"comedy"
"1410","Airport",1970,137,6.4,2918,10000000,"drama"
"1468","Akumulator 1",1994,102,7.1,272,2000000,"comedy"
"1508","Alan Smithee Film: Burn Hollywood Burn, An",1997,86,3.2,1262,10000000,"comedy"
"1530","Albino Alligator",1996,97,6,2077,5000000,"drama"
"1559","Alexander",2004,175,5.5,11254,150000000,"drama"
"1562","Alexander's Ragtime Band",1938,106,7.5,204,2000000,"drama"
"1586","Ali",2001,165,6.4,9294,107000000,"drama"
"1629","Alice Doesn't Live Here Anymore",1974,112,7.3,2231,85000,"drama"
"1666","Alien Nation",1988,91,6,2171,16000000,"drama"
"1677","Alien: Resurrection",1997,116,6,24358,70000000,"action"
"1679","Aliens",1986,154,8.3,63961,18500000,"action"
"1784","All the President's Men",1976,138,8,12724,8500000,"drama"
"1785","All the Pretty Horses",2000,116,5.6,3133,45000000,"drama"
"1851","Alligator",1980,89,5.5,1032,1000000,"comedy"
"1897","Aloha, Bobby and Rose",1975,85,5,90,60000,"drama"
"1903","Alone in the Dark",2005,96,2.1,2880,20000000,"action"
"1912","Along Came a Spider",2001,104,6.1,9456,28000000,"drama"
"1924","Alpha Incident, The",1978,95,4,40,200000,"drama"
"1940","Als je begrijpt wat ik bedoel",1983,84,7.5,224,2000000,"animation"
"1986","Amadeus",1984,180,8.3,36955,18000000,"drama"
"2082","Ame agaru",1999,91,7.8,448,3800000,"drama"
"2087","America 3000",1986,84,3.7,123,2000000,"action"
