"","title","year","length","rating","votes"
"8","'15'",2002,25,6.7,24
"18","'Bullitt': Steve McQueen's Commitment to Reality",1968,10,6.6,37
"50","'What's Your 'I.Q.'?' Number Two",1940,9,5.9,9
"101","1 Giant Leap",2002,155,6.6,75
"104","1,99 - Um Supermercado Que Vende Palavras",2003,72,4.9,28
"107","1/2 Mensch",1986,48,8.1,29
"116","10 on Ten",2004,88,5.9,40
"128","100 Years at the Movies",1994,9,9.2,91
"139","101",1989,117,7.8,299
"141","101 Rent Boys",2000,78,6.3,83
"148","10e chambre - Instants d'audience",2004,105,7.4,111
"174","13 Lakes",2004,135,9,5
"188","14 Million Dreams",2003,52,8.3,7
"201","16 Days of Glory",1985,145,7.7,37
"206","17 Seconds to Sophie",1998,1,5.1,7
"217","18-j",2004,100,8.5,26
"220","187: Documented",1997,58,3,14
"229","1925 Studio Tour",1925,32,8.2,26
"235","1955 Motion Picture Theatre Celebration",1955,18,4.6,12
"239","1974, une partie de campagne",1974,90,7.6,22
"242","1991: The Year Punk Broke",1992,99,6.9,166
"257","2 or 3 Things But Nothing for Sure",1997,12,7.2,5
"265","20 Dates",1998,87,5.4,841
"278","2000 Nordestes",2000,70,7.9,25
"288","2010: The Odyssey Continues",1984,18,5.8,154
"293","2084",1984,10,6.4,10
"300","21st Century Jet: The Building of the 777",1996,285,7.6,7
"351","3 Feet Under: Digging Deep for the Geoduck",2003,63,7,15
"376","30 Frames a Second: The WTO in Seattle",2000,73,5.4,7
"403","39 Pounds of Love",2005,70,7.6,7
"414","4 Artists Paint 1 Tree: A Walt Disney 'Adventure in Art'",1964,16,6.9,10
"419","4 Little Girls",1997,102,7.5,463
"428","4 saisons d'Espigoule, Les",1999,97,6.5,65
"440","400 Million, The",1939,52,5,10
"445","42nd. Street Special, The",1933,6,6.2,11
"476","500 Years Later",2005,106,9.3,17
"498","66 scener fra Amerika",1982,43,5.3,13
"506","7 Days In September",2002,94,7.9,33
"527","79 primaveras",1969,25,6.2,5
"530","7th Street",2003,72,7,42
"549","89 mm od Europy",1994,12,7.8,12
"561","90 Miles",2001,75,7.4,5
"562","900 Women",2001,72,5.1,8
"563","901: After 45 Years of Working",1990,29,7.1,8
"584","A",1998,136,5.1,18
"585","A",2002,60,2.3,11
"601","A futura memoria: Pier Paolo Pasolini",1986,115,6.6,7
"629","A.K.",1985,71,7.7,60
"631","A.K.A. Don Bonus",1995,65,8.2,9
"636","A.k.a. Cassius Clay",1970,85,5.7,43
"639","ABBA: The Movie",1977,96,6.1,613
"640","ABC Africa",2001,83,6.5,90
"641","ABC of Love and Sex: Australia Style, The",1978,85,3.7,5
"643","ABC's of Sex Education for Trainable Persons, The",1975,20,6.6,37
"646","AFI's 100 Years... 100 Movies: The Antiheroes",1998,60,4,19
"727","Abel Ferrara: Not Guilty",2003,85,6.5,10
"728","Abel Raises Cain",2005,82,7.8,13
"797","Absolut Warhola",2001,80,6.3,50
"804","Absolutely Positive",1991,87,7.8,8
"810","Abuelo Cheno y otras historias, El",1994,30,4.5,7
"820","Abxang",2003,102,7.2,5
"823","Acadie, l'Acadie, L'",1971,75,6,7
"842","Accordion Tribe",2004,87,7.4,8
"847","Accueil de jour, L'",2000,18,8.5,5
"848","Accueil familial, vieillir comme chez soi, L'",1996,17,9,5
"890","Across This Land with Stompin' Tom Connors",1973,90,7.3,10
"891","Across the Atlantic",2003,54,7.3,12
"908","Act of Seeing with One's Own Eyes, The",1971,32,6.9,93
"914","Acta General de Chile",1986,240,7.3,10
"923","Action On the Beach",1964,6,6.6,6
"930","Action: The October Crisis of 1970",1974,87,8.6,24
"934","Actors Anonymous: The Truth Behind the Dream",2003,60,3.2,8
"941","Ad and the Ego, The",1997,57,4.4,16
"962","Adamah",1947,48,9.4,7
"977","Addio ultimo uomo",1978,91,5.9,8
"1008","Admiral Cigarette",1897,1,4.4,34
"1009","Admiral Dewey Leading Land Parade",1899,1,4.1,27
"1031","Adrenaline Rush: The Science of Risk",2002,40,8.4,22
"1056","Adventures in South America",1945,10,6.1,9
"1057","Adventures in Wild California",2000,41,7.2,51
"1121","Adwa",1999,90,8.8,10
"1129","Aeroplane Flight and Wreck (Piloted by M. Cody)",1910,4,5.6,58
"1159","Affairs with Bears",2002,27,8.3,6
"1161","Affengeil",1990,87,6.7,9
"1165","Affliction",1996,45,5.5,6
"1169","Afghan Stories",2002,60,7.3,13
"1182","Africa Speaks",1930,75,6.1,6
"1184","Africa addio",1966,83,6.3,98
"1185","Africa ama",1971,110,6.6,5
"1186","Africa dolce e selvaggia",1982,96,3.3,20
"1187","Africa's Elephant Kingdom",1998,40,7.6,33
"1188","Africa: The Serengeti",1994,39,7.3,115
"1191","African Lion, The",1955,75,7.1,19
"1198","Afrique, je te plumerai",1993,88,6,8
"1203","Afropunk: The 'Rock n Roll Nigger' Experience",2003,66,7.4,23
"1230","After Stonewall",1999,88,7.6,30
"1245","Aftermath: The Remnants of War",2001,74,8.1,14
"1247","Afternoon of a Champion",1972,80,6.8,10
"1256","Against the Dying of the Light",2001,10,5.8,40
"1276","Agee",1980,98,5,5
"1321","Agronomist, The",2003,90,7.3,146
"1367","Aileen Wuornos: The Selling of a Serial Killer",1992,87,7,180
"1368","Aileen: Life and Death of a Serial Killer",2003,89,7.2,430
"1423","Ajax: Daar hoorden zij engelen zingen",2000,91,6.7,172
"1425","Aji",2003,134,5.3,8
"1471","Al Adamson: Drive-In Monster",1996,20,1.2,9
"1475","Al Lewis in the Flesh",1993,21,2.1,17
"1487","Ala-Arriba!",1942,94,8.1,7
"1518","Alaska: Spirit of the Wild",1997,40,6.5,112
"1537","Alcohol Years, The",2000,50,7.9,6
"1541","Aldous Huxley: The Gravity of Light",1996,70,4.9,16
"1542","Alefbay-e afghan",2002,45,7.2,31
"1547","Alert Today - Alive Tomorrow",1956,16,4.3,5
"1569","Alexei to izumi",2002,104,7.7,36
"1581","Alfred Stieglitz: The Eloquent Eye",2001,88,7.5,9
"1584","Algeria",2002,91,8.4,8
"1607","Alias Will James",1988,83,7.5,9
"1610","Alias: Slayer",2001,25,5.7,7
"1628","Alice Cooper: Welcome to My Nightmare",1975,84,7.1,70
"1683","Aliens of the Deep",2005,47,4.4,88
"1697","Alive: 20 Years Later",1993,51,5.4,23
"1731","All Jokes Aside",2000,76,3.7,8
"1757","All This and World War II",1976,88,6.2,27
"1766","All by Myself",1982,97,7.6,6
"1777","All the Girls I've Loved Before",2003,49,4.1,5
"1778","All the Great Operas in 10 Minutes",1992,9,8.7,10
"1783","All the Love You Cannes!",2002,108,6.5,51
"1792","All the Stage Is a World",2005,89,7,7
"1812","All-Star Bond Rally, The",1945,18,7,17
"1815","Alla ricerca di Tadzio",1970,30,7.5,10
"1825","Allegro ma non troppo",1985,8,9.5,11
"1831","Alleman",1963,90,8,62
"1873","Alma",1997,94,4.9,8
"1880","Almonds and Raisins",1984,90,4.7,7
"1901","Alone Across Australia",2003,52,9.4,5
"1936","Als Hitchcock in Auerstedt auf Eiermanns Else traf",1999,15,3.2,9
"1944","Alt for Norge",2005,92,6.1,32
"1946","Alt om min far",2002,75,6.8,156
"1952","Alternative Miss World, The",1980,90,6.8,5
"1977","Always a Bridesmaid",2000,98,6.9,26
"1978","Always for Pleasure",1978,58,7.4,11
"1982","Am I Normal?: A Film About Male Puberty",1979,22,5.8,21
"1987","Amalfi Way",1955,10,6.2,11
"1989","Amandla! A Revolution In Four Part Harmony",2002,108,7.3,162
"2018","Amargosa",2000,93,6.6,69
"2019","Amarillo by Morning",1998,29,6.3,33
"2029","Amato: A Love Affair with Opera",2001,66,8.8,6
"2038","Amazing Grace: Jeff Buckley",2004,60,8.1,9
"2039","Amazing Journeys",1999,40,6,12
"2050","Amazing World of Ghosts",1978,91,5.1,8
"2051","Amazing World of Psychic Phenomena, The",1976,93,5.4,16
"2052","Amazon",1997,38,6.3,39
"2058","Amazones 2000",2000,52,9.2,5
